date,interval,timestamp,purchase_kwh,adjusted_purchase_kwh,load_kwh,pv_kwh,price_yuan_per_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh,alpha,gain,forecast_next_net_kwh
2025-02-03,85,2025-02-03 14:10:00,0.0,0.0,1049.5025833333334,866.85145,0.9978,0.0,182.65113333333412,0.0,7.105427357601002e-13,10224.610944444446,10021.665240740742,0.0,0.0,308.38722531025394
2025-02-03,86,2025-02-03 14:20:00,0.0,0.0,1055.555,845.5187500000001,1.0271,0.0,210.0362499999992,7.958078640513122e-13,0.0,10021.665240740742,9788.291629629632,0.0,0.0,312.73962813198654
2025-02-03,87,2025-02-03 14:30:00,0.0,0.0,1060.2434833333334,795.3512333333333,1.0906,0.0,264.89224999999954,5.684341886080801e-13,0.0,9788.291629629632,9493.96690740741,0.0,0.0,340.64303513729163
2025-02-03,88,2025-02-03 14:40:00,0.0,0.0,1068.9835333333333,726.3919333333333,0.9376,0.0,342.5915999999994,5.684341886080801e-13,0.0,9493.96690740741,9113.309574074077,0.0,0.0,396.9101493218002
2025-02-03,89,2025-02-03 14:50:00,1279.9483,1242.463410613992,1075.6566666666665,659.3874999999999,0.6694,826.1942439473245,0.0,0.0,7.958078640513122e-13,9113.309574074077,9856.88439362667,0.0,0.0,428.96974329686276
2025-02-03,90,2025-02-03 15:00:00,1324.8163805555555,1239.595569116219,1060.6084166666667,609.9134166666666,0.66,788.9005691162189,0.0,0.0,1.1368683772161603e-13,9856.88439362667,10566.894905831266,0.0,0.0,467.7378267707421
2025-02-03,91,2025-02-03 15:10:00,1380.664952777778,1285.8324036809304,1030.15925,557.16815,0.7217,259.00566018748174,0.0,0.0,553.8356434934487,10566.894905831266,10800.0,0.0,0.0,538.7792512399751
2025-02-03,92,2025-02-03 15:20:00,1428.7785083333335,641.3574514781874,1014.54,495.8125,0.7308,0.0,0.0,0.0,122.62995147818742,10800.0,10800.0,0.0,0.0,608.8655978711473
2025-02-03,93,2025-02-03 15:30:00,973.6849543552808,646.5181799293773,1037.4795666666666,442.11471666666665,0.7534,0.0,0.0,0.0,51.15332992937738,10800.0,10800.0,0.0,0.0,648.714397254299
2025-02-03,94,2025-02-03 15:40:00,684.4227055555555,657.9253393569418,1032.1572333333334,399.8736666666667,0.7823,0.0,0.0,0.0,25.641772690275047,10800.0,10800.0,0.0,0.0,655.0198787012476
2025-02-03,95,2025-02-03 15:50:00,680.1073333333335,628.6220219462688,1005.6666666666666,358.40000000000003,0.8055,0.0,18.64464472039781,6.750155989720952e-14,0.0,10800.0,10779.283728088447,0.0,0.0,729.380030860257
2025-02-03,96,2025-02-03 16:00:00,756.077325,756.077325,1029.39645,302.7615,0.8271,23.01807990172569,0.0,0.0,6.424295098274392,10779.283728088447,10800.0,0.0,0.0,798.6356471675605
2025-02-03,97,2025-02-03 16:10:00,850.9963666666665,850.9963666666665,1047.8081833333333,245.00295000000003,0.8519,0.0,0.0,0.0,48.191133333333255,10800.0,10800.0,0.0,0.0,833.0641067449984
2025-02-03,98,2025-02-03 16:20:00,860.8454333333333,860.8454333333333,1037.545,193.7125,0.8791,0.0,0.0,0.0,17.012933333333194,10800.0,10800.0,0.0,0.0,863.7078476886145
2025-02-03,99,2025-02-03 16:30:00,894.6013777777779,882.1181539985158,1031.34085,147.41946666666666,0.9024,0.0,1.8032293348172972,3.1818991885756986e-13,0.0,10800.0,10797.996411850203,0.0,0.0,903.2578380306735
2025-02-03,100,2025-02-03 16:40:00,937.5542750000002,930.8857908536646,1026.8059833333334,105.53631666666666,0.9163,2.2262090553299965,0.0,0.0,7.389915131667926,10797.996411850203,10800.0,0.0,0.0,939.8136257264472
2025-02-03,101,2025-02-03 16:50:00,979.1787333333334,979.1787333333334,1021.5749999999999,63.88125,0.9264,0.0,0.0,0.0,21.48498333333339,10800.0,10800.0,0.0,0.0,963.1852732832458
2025-02-03,102,2025-02-03 17:00:00,977.9291666666668,953.4583013183812,1021.2386333333334,20.8122,0.9462,0.0,46.968132014951884,2.913225216616411e-13,0.0,10800.0,10747.813186650053,0.0,0.0,975.8483565355987
2025-02-03,103,2025-02-03 17:10:00,990.3763527777778,980.337205981159,1025.3728833333332,0.0,0.9742,0.0,45.035677352173664,6.110667527536862e-13,0.0,10747.813186650053,10697.773545147638,0.0,0.0,1012.4703015809004
2025-02-03,104,2025-02-03 17:20:00,1025.4699583333334,1025.4699583333334,1037.3566666666668,0.0,0.9862,0.0,11.886708333333809,0.0,3.6415315207705135e-13,10697.773545147638,10684.566091443934,0.0,0.0,1069.466452909864
2025-02-03,105,2025-02-03 17:30:00,1084.1346319958845,1084.1346319958845,1038.9897333333333,0.44393333333333335,0.976,45.5888319958851,0.0,6.536993168992922e-13,0.0,10684.566091443934,10725.59604024023,0.0,0.0,935.248900425945
2025-02-03,106,2025-02-03 17:40:00,935.2326083333334,935.2326083333334,913.5231166666667,0.0,1.0742,21.709491666667116,0.0,4.938272013532696e-13,0.0,10725.59604024023,10745.134582740231,0.0,0.0,724.4018523089185
2025-02-03,107,2025-02-03 17:50:00,718.8641666666666,718.8641666666666,733.6383333333333,0.0,1.2313,0.0,14.774166666666133,5.684341886080801e-13,0.0,10745.134582740231,10728.71884199949,0.0,0.0,710.8107678045482
2025-02-03,108,2025-02-03 18:00:00,712.1966583333334,713.5375949274405,707.6419333333333,0.03186666666666667,1.2561,5.927528260773316,0.0,0.0,5.808686864838819e-13,10728.71884199949,10734.053617434187,0.0,0.0,731.6643411899729
2025-02-03,109,2025-02-03 18:10:00,711.602675,714.1466697259257,734.1779,0.0,1.2447,0.0,20.031230274074005,3.410605131648481e-13,0.0,10734.053617434187,10711.796694907438,0.0,0.0,689.0985502333405
2025-02-03,110,2025-02-03 18:20:00,646.6191666666667,665.7594185970333,731.0016666666667,0.0,1.2545,0.0,65.24224806963358,0.0,2.5579538487363607e-13,10711.796694907438,10639.3053081634,0.0,0.0,680.3537811006432
2025-02-03,111,2025-02-03 18:30:00,648.0124916666666,660.5069729300667,713.8544333333333,0.0022833333333333334,1.2522,0.0,53.345177069933925,0.0,6.821210263296962e-13,10639.3053081634,10580.032889196807,0.0,0.0,718.6595055445936
2025-02-03,112,2025-02-03 18:40:00,322.06187650000203,353.27152154521394,695.1395333333334,0.0,1.2881,0.0,341.86801178811965,0.0,2.2737367544323206e-13,10580.032889196807,10200.179542765563,0.0,0.0,721.7827179258669
2025-02-03,113,2025-02-03 18:50:00,0.0,0.0,690.79,0.0,1.3466,0.0,690.7899999999994,5.684341886080801e-13,0.0,10200.179542765563,9432.63509832112,0.0,0.0,719.3635937536669
2025-02-03,114,2025-02-03 19:00:00,0.0,0.0,712.6662,0.0,1.3523,0.0,712.6662000000006,0.0,5.684341886080801e-13,9432.63509832112,8640.783764987786,0.0,0.0,710.9044961690206
2025-02-03,115,2025-02-03 19:10:00,0.0,0.0,735.1843166666666,0.0,1.3445,0.0,735.1843166666667,0.0,1.1368683772161603e-13,8640.783764987786,7823.912302024823,0.0,0.0,711.6534326937585
2025-02-03,116,2025-02-03 19:20:00,0.0,0.0,738.1149999999999,0.0,1.3483,0.0,738.115,0.0,1.1368683772161603e-13,7823.912302024823,7003.784524247045,0.0,0.0,746.1000033714156
2025-02-03,117,2025-02-03 19:30:00,0.0,0.0,722.6534333333334,0.0,1.349,0.0,722.6534333333335,0.0,1.1368683772161603e-13,7003.784524247045,6200.836264987785,0.0,0.0,756.2988916492908
2025-02-03,118,2025-02-03 19:40:00,0.0,0.0,715.24385,0.0,1.3473,0.0,715.24385,0.0,0.0,6200.836264987785,5406.120876098897,0.0,0.0,739.7183433590703
2025-02-03,119,2025-02-03 19:50:00,0.0,0.0,717.8283333333334,0.0,1.3482,0.0,717.828333333333,3.410605131648481e-13,0.0,5406.120876098897,4608.53383906186,0.0,0.0,720.8347615988976
2025-02-03,120,2025-02-03 20:00:00,0.0,0.0,711.6539833333333,0.0,1.3513,0.0,711.6539833333331,1.1368683772161603e-13,0.0,4608.53383906186,3817.807190913712,0.0,0.0,721.6097591685298
2025-02-03,121,2025-02-03 20:10:00,0.0,0.0,716.3881333333334,0.0,1.34,0.0,716.3881333333334,0.0,0.0,3817.807190913712,3021.820376098897,0.0,0.0,743.4165078491166
2025-02-03,122,2025-02-03 20:20:00,0.0,0.0,729.6016666666666,0.0,1.3489,0.0,729.6016666666666,0.0,0.0,3021.820376098897,2211.151857580379,0.0,0.0,751.8125470952573
2025-02-03,123,2025-02-03 20:30:00,0.0,0.0,724.163,0.0,1.3952,0.0,724.163,0.0,0.0,2211.151857580379,1406.5263020248233,0.0,0.0,720.5961748600989
2025-02-03,124,2025-02-03 20:40:00,701.2997416666666,701.2997416666666,703.1593333333334,0.0,1.2226,0.0,1.8595916666668473,0.0,4.551914400963142e-14,1406.5263020248233,1404.4600890618601,0.0,0.0,706.2487089680073
2025-02-03,125,2025-02-03 20:50:00,716.2941666666667,716.2941666666667,697.4833333333332,0.0,0.9332,18.810833333333346,0.0,0.0,1.0302869668521453e-13,1404.4600890618601,1421.3898390618601,0.0,0.0,751.5935397725788
2025-02-03,126,2025-02-03 21:00:00,730.063775,762.7687521766762,731.9446333333334,0.0,0.9068,30.824118843342806,0.0,0.0,2.4868995751603507e-14,1421.3898390618601,1449.1315460208687,0.0,0.0,750.5281562724646
2025-02-03,127,2025-02-03 21:10:00,733.9709916666667,738.97456652,732.4464833333333,0.0,0.9371,6.528083186666814,0.0,3.730349362740526e-14,0.0,1449.1315460208687,1455.0068208888688,0.0,0.0,741.8242917947965
2025-02-03,128,2025-02-03 21:20:00,754.6416666666669,754.6416666666669,714.1750000000001,0.0,0.9371,40.46666666666675,0.0,0.0,6.394884621840902e-14,1455.0068208888688,1491.4268208888689,0.0,0.0,771.184806313438
2025-02-03,129,2025-02-03 21:30:00,754.189225,754.189225,748.8506333333333,0.0,0.9871,5.338591666666667,0.0,5.062616992290714e-14,0.0,1491.4268208888689,1496.2315533888689,0.0,0.0,711.218982042518
2025-02-03,130,2025-02-03 21:40:00,694.5438,710.6867500000001,687.3082833333333,0.0,0.7764,23.378466666666654,0.0,0.0,1.2789769243681803e-13,1496.2315533888689,1517.2721733888689,0.0,0.0,574.1870563178754
2025-02-03,131,2025-02-03 21:50:00,587.8549999999999,587.8549999999999,548.895,0.0,0.4209,38.95999999999983,0.0,0.0,9.237055564881302e-14,1517.2721733888689,1552.3361733888687,0.0,0.0,543.5632927508165
2025-02-03,132,2025-02-03 22:00:00,713.4867098765436,713.4867098765436,517.5195666666667,0.0,0.3859,195.9671432098768,0.0,0.0,8.526512829121202e-14,1552.3361733888687,1728.7066022777578,0.0,0.0,555.6399089351834
2025-02-03,133,2025-02-03 22:10:00,575.8473666666667,575.8473666666667,538.2651166666667,0.0,0.4368,37.58225000000013,0.0,8.526512829121202e-14,0.0,1728.7066022777578,1762.530627277758,0.0,0.0,570.0622695854471
2025-02-03,134,2025-02-03 22:20:00,597.1741666666668,597.1741666666668,559.61,0.0,0.4198,37.56416666666686,0.0,7.815970093361102e-14,0.0,1762.530627277758,1796.3383772777581,0.0,0.0,560.5326567954367
2025-02-03,135,2025-02-03 22:30:00,571.8913083333333,571.8913083333333,583.5960166666667,0.0,0.4186,0.0,11.704708333333429,0.0,0.0,1796.3383772777581,1783.3331457962765,0.0,0.0,576.1555151860191
