variant,date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
q2_cvar,2025-03-25,41382.49924782945,41067.20979502928,0.0,0.0,0.0,315.2894528001883,152.84817971231027,1188.6111049921349,1940.1770928428236,1629.1114147292235,0
q2_cvar,2025-03-26,40272.73505275466,40272.73505275464,0.0,0.0,0.0,4.0946589230372864e-11,1.1259437826538488e-11,6395.616128318807,1629.1114147292235,1548.6014517438298,0
q2_cvar,2025-03-27,40142.86471109076,40142.86471109072,0.0,0.0,0.0,5.853566353852813e-11,1.3588352665294678e-11,2729.827978484927,1548.6014517438298,1498.152617577157,0
q2_cvar,2025-03-28,12206.496388375395,12206.496388375386,0.0,0.0,0.0,1.846778241443303e-11,7.036593530074242e-12,15635.634570106771,1498.152617577157,1884.8815324799352,0
q2_cvar,2025-03-29,11969.281246426768,11684.31705066741,0.0,0.0,0.0,284.96419575935704,70.44127717648101,18888.987907560662,1884.8815324799352,1368.9496294290125,0
q2_cvar,2025-03-30,38560.52001534214,38560.52001534212,0.0,0.0,0.0,4.5412304139347266e-11,1.1262102361797588e-11,3658.2359500988646,1368.9496294290125,1976.701980790468,0
q2_cvar,2025-03-31,38899.9048785561,37561.88853590116,0.0,0.0,0.0,1338.0163426549673,254.22849219629893,1288.263360387857,1976.701980790468,1602.0871254320996,0
q2_cvar,2025-04-01,45642.36708600928,39313.00692981393,0.0,0.0,0.0,6329.3601561953365,1110.1188469235813,4.777455555572159,1602.0871254320996,1497.7720561779845,0
q2_cvar,2025-04-02,48048.832366397866,39986.80310157997,0.0,0.0,0.0,8062.029264817911,1504.6086104052515,2051.5846962387145,1497.7720561779845,1740.5993005106477,0
q2_cvar,2025-04-03,41298.97442571619,41298.97442571616,0.0,0.0,0.0,3.368649667545576e-11,9.108769294385866e-12,7316.00702669147,1740.5993005106477,1679.2421489489025,0
