date,evaluation,start_soc_kwh,end_soc_kwh,solver_status,solver_gap,planner_fallback,solve_seconds,controller_seconds,integer_pairs,refinement_rounds,purchase_kwh,emergency_kwh,unused_kwh,charge_kwh,discharge_kwh,conversion_loss_kwh,total_energy_waste_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-09-08,True,10115.606138868978,7016.900552396397,Optimal,0.0006069267665805631,False,4.8710121999902185,0.30977309998706914,2016,5,49497.418638740346,9955.941410298112,65.24466150794387,14638.846747486847,14646.30089328967,3091.2514406697596,3156.4961021777035,30558.912087123743,50356.87961128725,80915.79169841099
2025-09-09,True,7016.900552396397,6650.830845983248,Optimal,0.00021961923270005478,False,6.350766899995506,0.3047301000042353,2016,5,55193.20617749386,4591.986801248246,3026.4174906746107,20975.810300908768,17319.86907950794,4022.010927813981,7048.428418488592,33502.53773459842,22421.246834125748,55923.78456872417
2025-09-10,True,6650.830845983248,7993.107912330244,Optimal,0.0008145063583751696,False,5.635007400007453,0.2470132000016747,2016,5,57081.943197988105,9215.470953069365,187.72148591270934,18871.813975960322,14078.119960815566,3451.416948797762,3639.1384347104713,34555.36603864501,48585.234122736525,83140.60016138153
2025-09-11,True,7993.107912330244,3087.109314836147,Optimal,0.000904162340686052,False,5.2776092999993125,0.2566878000070574,2016,5,50344.66844245651,4817.39229684513,3027.863667480906,16071.105401221528,17432.994112734126,3544.1098859815006,6571.973553462407,31707.592703418257,22500.560848016346,54208.1535514346
2025-09-12,True,3087.109314836147,3373.60544435626,Optimal,2.6574156667777215e-05,False,3.0454278999968665,0.25007710000500083,2016,5,30037.430014447433,1746.520312013339,17164.226195634925,14790.639022409181,11722.571091583335,2781.5718013057335,19945.79799694066,16124.244541337715,6803.676929748339,22927.921471086054
2025-09-13,True,3373.60544435626,8843.04575847222,Optimal,0.000984173805805519,False,4.311876199994003,0.2497707000002265,2016,5,38217.59130925076,284.3816425578209,21649.397581011184,20647.250551366844,11801.77666390278,3376.0335733481043,25025.43115435929,20010.899346001053,1822.8445862731583,21833.74393227421
2025-09-14,True,8843.04575847222,8656.885350925926,Optimal,0.0009653678176527193,False,6.2392994000110775,0.2645694000093499,2016,5,63002.43866646686,1535.273782824998,673.2525068034398,20698.31346989516,16933.178277406747,3951.2956000347103,4624.5481068381505,38862.61123503439,8447.656638099996,47310.267873134384
2025-09-15,True,8656.885350925926,9774.3069228443,Optimal,0.000892089684995904,False,2.3568628000066383,0.2792268999910448,22,3,66751.3695350597,135.7929325396909,6511.205006398209,22648.670595480606,17339.743767612756,4191.505255949478,10702.710262347688,41855.43033186222,700.0615597222436,42555.49189158446
2025-09-16,True,9774.3069228443,9436.647383172782,Optimal,0.0008731461940030697,False,1.8601920999935828,0.25759769999422133,21,3,65277.171990454706,41.00275350397837,2121.649715401818,21098.15068909423,17393.395643870695,4042.414584895056,6164.0643002968745,41431.98097351774,149.82406130353795,41581.80503482128
2025-09-17,True,9436.647383172782,9774.426170472168,Optimal,0.0007983970041689453,False,1.7860667999921134,0.24266489999718033,21,3,66559.65671909317,471.4861988015987,2733.557639814819,21228.76826058159,16891.30138250164,3999.6880907805635,6733.245730595383,41954.17829787226,1863.8957487647197,43818.07404663698
2025-09-18,True,9774.426170472168,3933.4735727791926,Optimal,0.0008717992630806849,False,5.31281129999843,0.26085460001195315,2016,5,57814.25067773569,190.173615566491,1292.376458063896,15857.126613133158,18101.129894561538,3596.949316264598,4889.325774328494,37236.10923557827,834.7503992348645,38070.85963481313
2025-09-19,True,3933.4735727791926,4896.965569768826,Optimal,0.00033388878959854086,False,3.077889599997434,0.25197990000015125,2016,5,32860.39808476953,455.8082924603263,13339.20685101104,15834.233748744617,11958.586539192469,2912.155212562514,16251.362063573553,18031.902101108404,1964.4042257121343,19996.306326820537
