date,evaluation,start_soc_kwh,end_soc_kwh,solver_status,planner_fallback,solver_gap,solver_objective,terminal_penalty_yuan,solve_seconds,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,plan_cost_yuan,emergency_cost_yuan,dispatch_fallback,total_cost_yuan
2025-05-29,True,1200.0,1200.0,Optimal,False,0.0,35566.74768638585,1980.2666666666667,0.04596119999769144,55718.548159053506,17792.04640164609,14411.557585333332,2990.9767146666686,1218.9125574074117,33586.48101971918,15489.226323774432,0,49075.70734349361
2025-05-30,True,1200.0,1200.0,Optimal,False,0.0,15411.412482030371,1980.2666666666667,0.04470549999678042,26347.40499176955,10714.26506872428,8678.55470566667,2130.3447276666634,19845.806089711932,13431.145815363705,10920.906123505829,0,24352.051938869532
2025-05-31,True,1200.0,1200.0,Optimal,False,0.0,15919.0875136213,1980.2666666666667,0.034065899992128834,26862.175154938275,12169.683271604934,9857.443449999999,870.2719666666654,17031.025750000004,13938.820846954633,2522.0432268166587,0,16460.864073771292
2025-06-01,True,1200.0,1200.0,Optimal,False,0.0,36715.86340771389,1980.2666666666667,0.03906380000989884,57676.48857633745,12549.474026337446,10165.073961333334,15933.938138666665,1.2003499999999576,34735.59674104722,79545.25703731207,0,114280.85377835929
2025-06-02,True,1200.0,1200.0,Optimal,False,0.0,41310.86015403136,1980.2666666666667,0.03554119999171235,66268.8908761317,17810.87662469136,14426.810066,10774.46586918518,5018.482736625514,39330.59348736469,47053.41374880811,0,86384.0072361728
2025-06-03,True,1200.0,1200.0,Optimal,False,0.0,40976.80783410617,1980.2666666666667,0.03275890000804793,64642.30271440329,19119.86831440329,15487.093334666664,7372.935065333337,190.09596666666607,38996.54116743951,34011.62768394235,0,73008.16885138187
2025-06-04,True,1200.0,1200.0,Optimal,False,0.0,40119.40584958771,1980.2666666666667,0.03296820000105072,64107.445695473245,15926.03985,12900.0922785,10529.184673146092,1965.4219804526738,38139.13918292105,49787.94938234444,0,87927.0885652655
2025-06-05,True,1200.0,1200.0,Optimal,False,0.0,41203.70961306728,1980.2666666666667,0.033328500008792616,65444.56583106996,19158.11941584362,15518.076726833333,9689.098773166665,344.30389855966826,39223.44294640062,41384.11117462366,0,80607.55412102427
2025-06-06,True,1200.0,1200.0,Optimal,False,0.0,15683.12239639315,1980.2666666666667,0.07112209999468178,27055.29022160494,8640.890312962958,6999.121153499998,11974.412529833333,6532.938191975314,13702.855729726483,57239.815351260586,0,70942.67108098707
2025-06-07,True,1200.0,1200.0,Optimal,False,0.0,17255.28560013284,1980.2666666666667,0.09990749999997206,28969.639255761318,12034.861030041151,9748.237434333329,6350.160143238687,1906.6626366255157,15275.018933466174,27655.681001343077,0,42930.69993480925
2025-06-08,True,1200.0,1200.0,Optimal,False,0.0,52053.132065105434,1980.2666666666667,0.0246711000072537,80676.36010679013,16514.034800823043,13376.368188666667,600.5162779999965,12954.28650596708,50072.86539843877,2508.053683825984,0,52580.91908226476
2025-06-09,True,1200.0,1200.0,Optimal,False,0.0,44451.025990855436,1980.2666666666667,0.04542889998992905,68653.466818107,17164.339084773666,13903.11465866667,6548.219491333329,1007.7491499999988,42470.759324188766,32762.838555243303,0,75233.59787943207
2025-06-10,True,1200.0,1200.0,Optimal,False,0.0,48427.52017673025,1980.2666666666667,0.04073700000299141,75017.65007592594,21036.624801646092,17039.666089333332,1986.8320273333318,1389.0791576131717,46447.25351006359,8296.218851395326,0,54743.47236145892
2025-06-11,True,1200.0,1200.0,Optimal,False,1.4768766863718598e-16,49265.84379944249,1980.2666666666667,0.045906899991678074,77052.77583369342,21833.325021193414,17684.99326716667,5080.982458810694,1900.9802218106995,47285.57713277582,23454.30948675939,0,70739.88661953522
2025-06-12,True,1200.0,1285.979296296296,Optimal,False,0.00018667714370345742,52526.65381954971,1980.2666666666667,0.024424900009762496,80760.09077201645,20582.12146090535,16594.137016666667,556.9575166666681,4876.672411111111,50546.38715288304,2240.4764430666733,0,52786.86359594972
2025-06-13,True,1285.979296296296,1200.0,Optimal,False,0.0,21703.96514407389,1980.2666666666667,0.05576859999564476,34296.96963395062,12813.08728395062,10455.982066666667,962.524816666665,4557.075533333333,19723.698477407223,3453.3071288499928,0,23177.005606257215
